Entity,Code,Year,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female"
Afghanistan,AFG,1975,0.21344
Afghanistan,AFG,1979,0.15769
Albania,ALB,2001,8.17181
Albania,ALB,2008,8.68114
Albania,ALB,2011,9.4937
Albania,ALB,2012,9.94807
Algeria,DZA,1971,0.24305
Algeria,DZA,2008,6.57359
Andorra,AND,2003,10.15634
Andorra,AND,2004,10.42723
Andorra,AND,2005,9.81473
Andorra,AND,2006,10.19616
Andorra,AND,2014,10.53717
Andorra,AND,2015,10.46091
Andorra,AND,2016,10.43894
Angola,AGO,2014,3.13611
Argentina,ARG,1970,5.69462
Argentina,ARG,1980,6.77435
Argentina,ARG,1991,7.90297
Argentina,ARG,2001,8.87543
Argentina,ARG,2003,9.8852
Argentina,ARG,2006,10.40822
Argentina,ARG,2008,10.60842
Argentina,ARG,2009,10.77123
Argentina,ARG,2010,10.77528
Argentina,ARG,2011,10.87172
Argentina,ARG,2012,11.02336
Argentina,ARG,2013,11.08803
Argentina,ARG,2014,11.15414
Argentina,ARG,2015,11.16426
Argentina,ARG,2016,11.13786
Argentina,ARG,2018,11.34634
Armenia,ARM,2001,10.34996
Armenia,ARM,2011,11.30488
Armenia,ARM,2015,11.70447
Armenia,ARM,2017,11.29839
Aruba,ABW,1991,6.2089
Aruba,ABW,2000,8.381
Aruba,ABW,2010,8.31384
Australia,AUS,1971,9.105
Australia,AUS,2004,11.70693
Australia,AUS,2005,11.76674
Australia,AUS,2006,11.9365
Australia,AUS,2007,12.03388
Australia,AUS,2008,12.32278
Australia,AUS,2009,12.39437
Australia,AUS,2010,12.48122
Australia,AUS,2011,12.60574
Australia,AUS,2012,12.79733
Australia,AUS,2013,12.07382
Australia,AUS,2014,12.16779
Australia,AUS,2015,12.2695
Australia,AUS,2016,12.39655
Australia,AUS,2017,12.40007
Australia,AUS,2018,12.57725
Austria,AUT,1971,9.06684
Austria,AUT,1981,10.82503
Austria,AUT,2005,11.17828
Austria,AUT,2007,11.08456
Austria,AUT,2008,10.96874
Austria,AUT,2009,11.27799
Austria,AUT,2010,11.34412
Austria,AUT,2011,11.33168
Austria,AUT,2012,11.38065
Austria,AUT,2013,11.44007
Austria,AUT,2014,11.62955
Austria,AUT,2015,11.74792
Austria,AUT,2016,11.80643
Austria,AUT,2017,11.87403
Azerbaijan,AZE,1999,9.4832
Azerbaijan,AZE,2007,10.10761
Azerbaijan,AZE,2008,10.1215
Azerbaijan,AZE,2009,10.12927
Azerbaijan,AZE,2010,10.15892
Azerbaijan,AZE,2011,10.16167
Azerbaijan,AZE,2012,10.16228
Azerbaijan,AZE,2013,10.16551
Azerbaijan,AZE,2014,10.16521
Azerbaijan,AZE,2015,10.16084
Azerbaijan,AZE,2016,10.2424
Azerbaijan,AZE,2017,10.2201
Bahamas,BHS,1990,9.44987
Bahamas,BHS,2000,11.23228
Bahamas,BHS,2010,12.04617
Bahrain,BHR,1971,1.12946
Bahrain,BHR,1991,4.8728
Bahrain,BHR,2001,7.43526
Bahrain,BHR,2010,7.9677
Bahrain,BHR,2016,8.89221
Bahrain,BHR,2017,9.08769
Bahrain,BHR,2018,10.37557
Bangladesh,BGD,1974,0.37087
Bangladesh,BGD,1981,0.90657
Bangladesh,BGD,2001,3.77931
Bangladesh,BGD,2011,4.40422
Bangladesh,BGD,2012,4.53899
Bangladesh,BGD,2013,4.36723
Bangladesh,BGD,2014,4.59836
Bangladesh,BGD,2015,5.34107
Bangladesh,BGD,2016,5.43883
Bangladesh,BGD,2017,5.63924
Bangladesh,BGD,2018,5.79832
Bangladesh,BGD,2019,5.97717
Barbados,BRB,1970,8.27189
Barbados,BRB,2000,9.07628
Belarus,BLR,1970,5.94306
Belarus,BLR,1989,6.72814
Belarus,BLR,2009,11.21051
Belgium,BEL,1970,7.12204
Belgium,BEL,2006,10.82862
Belgium,BEL,2008,10.92404
Belgium,BEL,2009,11.08556
Belgium,BEL,2010,11.21817
Belgium,BEL,2011,11.2837
Belgium,BEL,2012,11.31801
Belgium,BEL,2013,11.44212
Belgium,BEL,2014,11.53974
Belgium,BEL,2015,11.83914
Belgium,BEL,2016,11.9353
Belgium,BEL,2017,12.22342
Belize,BLZ,1970,4.51515
Belize,BLZ,1980,4.92066
Belize,BLZ,1991,5.56315
Belize,BLZ,2005,7.56265
Belize,BLZ,2010,10.5039
Benin,BEN,1979,0.35547
Benin,BEN,2002,1.51295
Bermuda,BMU,1970,8.81516
Bermuda,BMU,1991,10.95102
Bermuda,BMU,2000,12.81121
Bermuda,BMU,2010,11.48717
Bermuda,BMU,2016,12.92412
Bhutan,BTN,2012,1.48142
Bhutan,BTN,2017,3.25487
Bolivia,BOL,1976,2.80741
Bolivia,BOL,1992,5.33778
Bolivia,BOL,2001,6.43097
Bolivia,BOL,2006,6.50334
Bolivia,BOL,2008,6.7306
Bolivia,BOL,2009,7.01688
Bolivia,BOL,2012,7.43796
Bolivia,BOL,2015,7.98571
Bosnia and Herzegovina,BIH,2010,6.16797
Bosnia and Herzegovina,BIH,2011,6.31513
Bosnia and Herzegovina,BIH,2014,7.72184
Bosnia and Herzegovina,BIH,2015,7.86482
Bosnia and Herzegovina,BIH,2016,8.64397
Bosnia and Herzegovina,BIH,2018,8.85433
Botswana,BWA,1971,1.32781
Brazil,BRA,1970,2.26504
Brazil,BRA,1976,2.2524
Brazil,BRA,1980,2.4978
Brazil,BRA,2004,6.13229
Brazil,BRA,2006,6.4898
Brazil,BRA,2007,6.68427
Brazil,BRA,2008,6.868
Brazil,BRA,2009,6.97453
Brazil,BRA,2010,7.81222
Brazil,BRA,2011,7.25046
Brazil,BRA,2012,7.47558
Brazil,BRA,2013,7.57417
Brazil,BRA,2014,7.67999
Brazil,BRA,2015,7.80522
Brazil,BRA,2016,7.91202
Brazil,BRA,2017,8.05524
Brazil,BRA,2018,8.18457
British Virgin Islands,VGB,1980,7.35113
British Virgin Islands,VGB,1991,8.97065
Brunei,BRN,1971,2.1766
Brunei,BRN,1981,5.26618
Brunei,BRN,2011,11.35434
Bulgaria,BGR,1975,4.3507
Bulgaria,BGR,1992,7.12013
Bulgaria,BGR,2001,9.94949
Bulgaria,BGR,2006,10.51141
Bulgaria,BGR,2007,10.62665
Bulgaria,BGR,2008,10.68306
