Entity,Code,Year,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male"
Afghanistan,AFG,1975,1.18291
Afghanistan,AFG,1979,1.48672
Albania,ALB,2001,9.32291
Albania,ALB,2008,9.70867
Albania,ALB,2011,10.33097
Albania,ALB,2012,10.36471
Algeria,DZA,1971,1.66481
Algeria,DZA,2008,8.22392
Andorra,AND,2003,10.11029
Andorra,AND,2004,10.59517
Andorra,AND,2005,9.96462
Andorra,AND,2006,10.22823
Andorra,AND,2014,10.64441
Andorra,AND,2015,10.57635
Andorra,AND,2016,10.56401
Angola,AGO,2014,4.95799
Argentina,ARG,1970,6.23799
Argentina,ARG,1980,6.72253
Argentina,ARG,1991,8.13223
Argentina,ARG,2001,8.66949
Argentina,ARG,2003,9.72346
Argentina,ARG,2006,10.20164
Argentina,ARG,2008,10.39876
Argentina,ARG,2009,10.49547
Argentina,ARG,2010,10.59208
Argentina,ARG,2011,10.69722
Argentina,ARG,2012,10.68659
Argentina,ARG,2013,10.82681
Argentina,ARG,2014,10.80168
Argentina,ARG,2015,10.80888
Argentina,ARG,2016,10.83777
Argentina,ARG,2018,10.94502
Armenia,ARM,2001,10.57222
Armenia,ARM,2011,11.31423
Armenia,ARM,2015,11.69459
Armenia,ARM,2017,11.30585
Aruba,ABW,1991,6.95676
Aruba,ABW,2000,8.93753
Aruba,ABW,2010,8.47793
Australia,AUS,1971,10.37592
Australia,AUS,2004,11.93582
Australia,AUS,2005,11.96301
Australia,AUS,2006,12.01275
Australia,AUS,2007,12.09753
Australia,AUS,2008,12.26727
Australia,AUS,2009,12.31448
Australia,AUS,2010,12.34035
Australia,AUS,2011,12.39005
Australia,AUS,2012,12.61996
Australia,AUS,2013,12.01944
Australia,AUS,2014,12.22585
Australia,AUS,2015,12.28096
Australia,AUS,2016,12.37546
Australia,AUS,2017,12.32045
Australia,AUS,2018,12.43492
Austria,AUT,1971,10.31135
Austria,AUT,1981,9.57839
Austria,AUT,2005,12.01947
Austria,AUT,2007,12.06237
Austria,AUT,2008,12.09947
Austria,AUT,2009,12.14536
Austria,AUT,2010,12.15625
Austria,AUT,2011,12.16122
Austria,AUT,2012,12.19072
Austria,AUT,2013,12.20025
Austria,AUT,2014,12.42884
Austria,AUT,2015,12.46493
Austria,AUT,2016,12.47828
Austria,AUT,2017,12.49718
Azerbaijan,AZE,1999,10.41692
Azerbaijan,AZE,2007,10.79378
Azerbaijan,AZE,2008,10.80137
Azerbaijan,AZE,2009,10.8049
Azerbaijan,AZE,2010,10.79917
Azerbaijan,AZE,2011,10.79847
Azerbaijan,AZE,2012,10.80682
Azerbaijan,AZE,2013,10.81234
Azerbaijan,AZE,2014,10.81629
Azerbaijan,AZE,2015,10.81695
Azerbaijan,AZE,2016,10.8936
Azerbaijan,AZE,2017,10.8944
Bahamas,BHS,1990,9.42157
Bahamas,BHS,2000,10.80504
Bahamas,BHS,2010,11.71435
Bahrain,BHR,1971,2.44768
Bahrain,BHR,1991,5.37726
Bahrain,BHR,2001,9.13532
Bahrain,BHR,2010,8.03948
Bahrain,BHR,2016,9.44099
Bahrain,BHR,2017,9.72027
Bahrain,BHR,2018,10.52958
Bangladesh,BGD,1974,2.07603
Bangladesh,BGD,1981,3.07659
Bangladesh,BGD,2001,5.00275
Bangladesh,BGD,2011,6.00875
Bangladesh,BGD,2012,6.08224
Bangladesh,BGD,2013,5.74734
Bangladesh,BGD,2014,5.80048
Bangladesh,BGD,2015,6.63524
Bangladesh,BGD,2016,6.78132
Bangladesh,BGD,2017,6.90503
Bangladesh,BGD,2018,6.99896
Bangladesh,BGD,2019,7.14094
Barbados,BRB,1970,8.64008
Barbados,BRB,2000,8.90166
Belarus,BLR,1970,6.79817
Belarus,BLR,1989,7.66706
Belarus,BLR,2009,11.48874
Belgium,BEL,1970,7.7577
Belgium,BEL,2006,11.28237
Belgium,BEL,2008,11.4472
Belgium,BEL,2009,11.55278
Belgium,BEL,2010,11.61493
Belgium,BEL,2011,11.6566
Belgium,BEL,2012,11.68096
Belgium,BEL,2013,11.86654
Belgium,BEL,2014,11.99596
Belgium,BEL,2015,12.19611
Belgium,BEL,2016,12.28219
Belgium,BEL,2017,12.5176
Belize,BLZ,1970,4.72156
Belize,BLZ,1980,5.14424
Belize,BLZ,1991,5.69185
Belize,BLZ,2005,7.6684
Belize,BLZ,2010,10.49129
Benin,BEN,1979,1.039
Benin,BEN,2002,3.57666
Bermuda,BMU,1970,8.52911
Bermuda,BMU,1991,10.88448
Bermuda,BMU,2000,12.74159
Bermuda,BMU,2010,10.37681
Bermuda,BMU,2016,12.12384
Bhutan,BTN,2012,2.98856
Bhutan,BTN,2017,4.79342
Bolivia,BOL,1976,4.93921
Bolivia,BOL,1992,7.37612
Bolivia,BOL,2001,8.34545
Bolivia,BOL,2006,7.80086
Bolivia,BOL,2008,8.16595
Bolivia,BOL,2009,8.47627
Bolivia,BOL,2012,8.64632
Bolivia,BOL,2015,9.42212
Bosnia and Herzegovina,BIH,2010,8.17594
Bosnia and Herzegovina,BIH,2011,8.28774
Bosnia and Herzegovina,BIH,2014,10.23194
Bosnia and Herzegovina,BIH,2015,10.24624
Bosnia and Herzegovina,BIH,2016,10.86624
Bosnia and Herzegovina,BIH,2018,10.85816
Botswana,BWA,1971,1.36596
Brazil,BRA,1970,2.72706
Brazil,BRA,1976,2.6628
Brazil,BRA,1980,2.7923
Brazil,BRA,2004,5.92829
Brazil,BRA,2006,6.25586
Brazil,BRA,2007,6.43248
Brazil,BRA,2008,6.59531
Brazil,BRA,2009,6.69225
Brazil,BRA,2010,7.46755
Brazil,BRA,2011,6.89803
Brazil,BRA,2012,7.09856
Brazil,BRA,2013,7.14963
Brazil,BRA,2014,7.23203
Brazil,BRA,2015,7.36825
Brazil,BRA,2016,7.52919
Brazil,BRA,2017,7.62422
Brazil,BRA,2018,7.74927
British Virgin Islands,VGB,1980,7.33336
British Virgin Islands,VGB,1991,8.54176
Brunei,BRN,1971,5.02625
Brunei,BRN,1981,7.59172
Brunei,BRN,2011,11.78021
Bulgaria,BGR,1975,4.94454
Bulgaria,BGR,1992,7.50088
Bulgaria,BGR,2001,10.20855
Bulgaria,BGR,2006,10.53948
Bulgaria,BGR,2007,10.6667
Bulgaria,BGR,2008,10.69547
Bulgaria,BGR,2009,10.72627
Bulgaria,BGR,2010,10.7815
Bulgaria,BGR,2011,10.84131
Bulgaria,BGR,2012,10.94082
Bulgaria,BGR,2013,11.03837
Bulgaria,BGR,2014,11.05104
Bulgaria,BGR,2015,11.17374
Bulgaria,BGR,2016,11.20975
Bulgaria,BGR,2017,11.23978
Burkina Faso,BFA,2006,1.87264
Burkina Faso,BFA,2007,0.86775
Burkina Faso,BFA,2014,1.88431
Burundi,BDI,1990,2.17978
Burundi,BDI,2008,2.90648
Burundi,BDI,2014,2.5364
Burundi,BDI,2017,3.45818
Cambodia,KHM,2007,5.03987
Cambodia,KHM,2008,4.93125
Cambodia,KHM,2009,5.02176
Cambodia,KHM,2014,4.56417
Cambodia,KHM,2015,4.76645
Cameroon,CMR,1976,2.53763
Cameroon,CMR,2010,6.6162
Canada,CAN,1976,9.91321
Canada,CAN,1981,10.02318
Canada,CAN,1986,10.39922
Canada,CAN,1991,10.81619
Canada,CAN,2001,12.41921
Canada,CAN,2006,13.01757
Canada,CAN,2011,13.20592
Canada,CAN,2016,13.25971
Cape Verde,CPV,2015,6.13935
Cayman Islands,CYM,1970,5.9768
Cayman Islands,CYM,1989,8.84621
Cayman Islands,CYM,2004,11.22451
Cayman Islands,CYM,2005,11.71655
Cayman Islands,CYM,2006,11.5664
